2308	157	10478
1784	219	3682
9069	38	8951
1447	26	2667
7588	171	3366
5745	112	2121
9845	215	7056
11386	202	13642
5993	217	8378
5043	203	14270
4641	120	10722
8672	91	9820
10101	195	8342
2550	75	11232
13180	12	3950
14256	217	7675
10595	85	14470
9113	215	4982
8805	196	10595
11104	217	1905
14310	202	10155
2040	87	1909
5887	34	12846
9204	225	745
118	71	6688
5432	84	11322
1188	71	13455
599	36	14129
11713	75	11232
5928	146	12201
5559	21	10595
4155	87	8717
3739	37	3447
4773	116	11970
9870	236	10765
10356	75	11393
3749	202	11436
7820	42	10595
11518	215	7010
8687	188	5239
4845	165	1013
14536	42	10595
3808	217	12150
14107	225	4020
4844	93	14335
323	26	9124
169	110	13339
13721	82	9429
7795	188	12212
10530	182	9429
14471	186	8508
8842	205	430
2975	54	6962
4053	234	11663
9178	215	13808
4858	78	9633
9149	26	6201
4193	215	14276
2050	37	3447
4213	165	1614
3532	217	356
599	36	9921
3116	171	4922
10234	42	14415
11876	37	3447
854	174	6433
2376	70	9483
7188	73	3903
1278	36	14332
3971	91	9820
578	87	12802
7845	26	4499
12878	37	3447
12055	93	10106
9255	37	3447
8953	203	8474
6446	52	9303
8079	13	10435
8030	213	7250
14436	93	1839
13899	91	9820
9314	21	12413
2200	177	91
8511	158	3438
3856	75	10595
1640	37	3447
8604	75	357
11043	12	12234
5934	201	357
13701	93	13707
2033	119	3150
1459	215	11043
5310	36	4405
13667	13	13815
4175	63	10918
1861	93	790
9632	129	12234
979	217	8891
10456	225	3710
14353	42	159
7378	116	13428
10093	89	9551
6555	178	9158
12341	165	11574
12335	9	4380
2685	219	14258
3338	68	13345
8441	202	8929
4536	70	8953
5051	89	13762
1325	75	8457
10301	215	12803
7955	38	5129
426	77	426
3689	146	12479
9567	51	14396
2699	73	2221
9817	87	9598
6397	48	10476
6067	234	4305
12137	183	13021
1998	114	9429
4953	164	10716
359	159	9683
9646	234	10709
10562	234	8632
7642	87	9598
3652	120	4064
14388	75	1756
3171	20	3427
10119	112	2121
6555	234	370
6004	202	11371
2126	87	3449
4577	169	14195
737	194	237
3091	113	3998
7902	91	9820
3660	234	7079
1639	217	10002
1374	217	5008
4790	93	9069
4898	104	5061
5410	225	7064
6429	215	3357
7217	71	8896
12808	217	5019
9516	110	11274
14530	202	3196
7951	166	2820
8230	14	12192
4307	12	3292
5994	195	765
11934	217	11899
10249	213	3954
12049	225	13238
10167	190	7475
1331	37	3447
2832	215	65
10755	93	13707
8219	75	11196
12183	15	7663
13262	42	10595
